"","CLL2105_T48","CLL2474_T0","CLL2479_T48","CLL2648_T48","CLL2654_T0","CLL2771_T0","CLL2783_T0","CLL3024_T48","CLL3045_T0","HD108_T48","HD110_T48","HD112_T48","HD113_T48","HD91_T0","HD92_T0","HD93_T0","HD94_T0","HD96_T0"
"ENSG00000000003",17,31,16,10,34,20,14,6,22,9,26,14,12,20,7,13,23,34
"ENSG00000000419",1869.19,1041,1486.38,2043.84,996.87,891,822.4,1944.84,855,1608.78,2149.27,1477.32,1796.34,709.33,771.22,1096.75,882.78,957.85
"ENSG00000000457",379.65,841.81,614.11,441.12,911.31,1072.2,833.88,426.36,909.82,625.19,834.62,664.74,692.42,556.44,589.37,989.63,581.84,636.1
"ENSG00000000460",798.35,209.19,304.89,1210.88,146.69,200.8,194.12,930.64,138.18,752.81,872.38,710.26,717.58,83.56,78.63,92.37,59.16,60.95
"ENSG00000000938",209,661,59,261,551,562,377,380,711,37,29,26,26,311,165,703,16,807
"ENSG00000000971",11,768,74,216,476,271,96,41,281,63,122,88,65,494,128,819,60,569
"ENSG00000001036",249.96,99.53,169.87,343.89,85,194.34,113.64,287,137,288.4,372.81,357,385.92,67.56,64,113.79,34.7,70.31
"ENSG00000001084",929,963,1037,1106,417,865.9,349.99,950,763,972,1197,1345.98,1258.99,285,189,598,196,416.97
"ENSG00000001167",1668,1298.77,1517.98,1559,1739.76,1433,1180.83,1552.96,1636.45,1224.81,1740.74,1440,1295.91,996.99,990,1191.98,1065.86,1030.94
"ENSG00000001460",185.02,75,91,148,106,148,94,113,112.01,172.01,141,156,166,124.03,123,115.01,128.09,99
"ENSG00000001461",1134.98,1294,971,837,1594,1431,1279,1125,1870.99,1274.99,1501,1430,1264,863.97,1411,1592.99,1547.91,1163
"ENSG00000001497",2533,984,2184,2509,1326,1156,1094,2588,1195,1796,2338,2295,1890,718,945,856,829,1078
"ENSG00000001561",892,1339,741,1113,1212,1203,752,933,789,857,1088,753,811,1004,731,2066,299,1407
"ENSG00000001617",0,0,0,0,0,0,4,1,0,0,2,2,0,0,0,0,0,2
"ENSG00000001626",0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0
"ENSG00000001629",1556,1687,1593,1569,1956,1975,1885,1597,1751.95,1941.96,2120,1887,1670,1830,1479,1766,886,1032
"ENSG00000001630",2240,384,2047,3529,461,595,403,2438,415,2370,3949.99,2170,2816,300,345,616,362,308
"ENSG00000001631",1251.29,1345.78,1085.39,1340.23,1078.1,1388.27,1123,1308.57,1238.34,1056.83,1282.4,1021.8,1108.04,807,1001.74,1003.36,841.71,866.52
"ENSG00000002016",251,272,273,163,408,371,457,224.43,430,233,252,301,233,294,471,447,538,657
"ENSG00000002079",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002330",144.73,120.86,111.67,186.3,223.2,180.33,285.61,218.6,212.62,193,210.94,571.83,300.57,155,48.86,156,82,59.39
"ENSG00000002549",4138,505,2494,3524,364,586,483,3909,476,5119,6468,5079,4363.01,785,446,998,246,342
"ENSG00000002586",1390,2987,1416,2880,3214,3379,3026,1652,2134,1895,2055,2779,1843,3700,2388,5905,1929,3296
"ENSG00000002587",4,1,14,0,0,9,1,1,9,0,13,2,2,0,3,1,1,0
"ENSG00000002726",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"ENSG00000002745",6,2,9,5,5,5,7,9,7,4,8,7,2,14,4,13,1,17
"ENSG00000002746",0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0
"ENSG00000002822",308.52,456.9,526.87,369,560,473.74,668.75,366.02,1026,334.98,430,775.13,381,356,413,510,443,272
"ENSG00000002834",5946,3951,5300,5505,5304,4862,4993,5774,5495,7094,7639,8951,6438,3027,2684,4437,1773,2664
"ENSG00000002919",951,423,807,1088,380,400,383,860,406,626,791,678,555,295,178,485,282,356
"ENSG00000002933",35,13,0,46,2,2,0,60,4,0,13,2,2,0,0,0,0,0
"ENSG00000003056",8573.27,3199.08,4719.41,6963.04,2847.13,3863.35,2558.95,7016.38,3131.91,4012.23,6380.92,4957.78,4760.61,2222.03,2228.88,3147.35,1638.66,1993.74
"ENSG00000003096",46,3,4,10,20,20,6,18,8,6,21,7,22,7,1,3,6,3
"ENSG00000003137",0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0
"ENSG00000003147",17,21,37,30,5,12,25,22,49,17,39,8,8,2,7,5,1,3
"ENSG00000003249",2,7,7,12,11,3,15,0,9,6,3,25,17,1,2,1,2,0
"ENSG00000003393",643,554,493,608,583,784,570,701,542,471,606,558,630,315,347,466,136,394
"ENSG00000003400",534.06,714,681,188,1834.87,767,564,272,909.21,540,933,527,618,840,932.15,1309,1056,1118.62
"ENSG00000003402",7315.01,6768.44,8632.02,6989.6,9107.53,6856,7181.13,8283,7728.26,11577.24,11793.89,12976.43,11329.71,8197.57,6116.4,7803.86,3595.5,5892.62
"ENSG00000003436",1,0,0,0,0,0,0,2,0,0,2,0,3,0,4,0,0,0
"ENSG00000003509",425.29,512.3,413.87,325.11,637.37,577.16,556.69,403.83,623.28,387.71,508.01,450.95,379.07,350.33,296.72,447.74,261.46,443.11
