MOLTID,TITLE,MOLTNBR,PANELNBR,CELLNBR,pname,cellname,VALUE,STD DEV
MT15708,(2-Aminoethyl)phosphonate,371621,1,1,NSCLC,NCI-H23,2.59,0.413
MT15709,(p-Hydroxyphenyl)lactic acid,371622,1,1,NSCLC,NCI-H23,0.855,0.322
MT15710,"2,3-diphospho-D-glyceric acid",371623,1,1,NSCLC,NCI-H23,0.711,0.281
MT15711,2'-deoxyadenosine 5'-diphosphate,371624,1,1,NSCLC,NCI-H23,1.081,0.282
MT15712,2'-deoxyuridine 5'-triphosphate,371625,1,1,NSCLC,NCI-H23,0.222,0
MT15713,2'-deoxyuridine,371626,1,1,NSCLC,NCI-H23,0.104,0
MT15714,3-hydroxy-3-methylglutarate,371627,1,1,NSCLC,NCI-H23,3.066,0.814
MT15715,3-methyl-L-histidine,371628,1,1,NSCLC,NCI-H23,1.309,0.268
MT15716,3-phospho-d-glycerate,371629,1,1,NSCLC,NCI-H23,0.024,0
MT15717,3-phospho-l-serine,371630,1,1,NSCLC,NCI-H23,3.463,0.868
MT15718,4-Guanidinobutanoic acid,371631,1,1,NSCLC,NCI-H23,1.042,0.048
MT15719,"5,6-dihydrouracil",371632,1,1,NSCLC,NCI-H23,0.219,0
MT15720,"5,6-Dimethylbenzimidazole",371633,1,1,NSCLC,NCI-H23,2.389,0.058
MT15721,5-oxoproline,371634,1,1,NSCLC,NCI-H23,3.314,0.023
MT15722,5'-s-methyl-5'-thioadenosine,371635,1,1,NSCLC,NCI-H23,1.399,0.354
MT15723,6-phosphogluconic acid,371636,1,1,NSCLC,NCI-H23,0.545,0.08
MT15724,acetylphosphate,371637,1,1,NSCLC,NCI-H23,0.35,0.256
MT15725,adenine,371638,1,1,NSCLC,NCI-H23,2.361,0.231
MT15726,adenosine,371639,1,1,NSCLC,NCI-H23,1.431,0.373
MT15727,alanine,371640,1,1,NSCLC,NCI-H23,0.938,0.185
MT15728,allantoin,371641,1,1,NSCLC,NCI-H23,0.934,0.286
MT15729,alpha-D-ribose 5-phosphate,371642,1,1,NSCLC,NCI-H23,0.082,0
MT15730,alpha-keto-glutarate,371643,1,1,NSCLC,NCI-H23,0.955,0.231
MT15731,alpha-tocopherol,371644,1,1,NSCLC,NCI-H23,1.87,0.849
MT15732,anthranilic acid,371645,1,1,NSCLC,NCI-H23,0.776,0.09
MT15733,arabinose,371646,1,1,NSCLC,NCI-H23,0.122,0
MT15734,arginine,371647,1,1,NSCLC,NCI-H23,1.053,0.29
MT15735,arginino-succinate,371648,1,1,NSCLC,NCI-H23,2.402,0.742
MT15736,asparagine,371649,1,1,NSCLC,NCI-H23,4.375,0.349
MT15737,aspartate,371650,1,1,NSCLC,NCI-H23,4.031,0.531
MT15738,beta-alanine,371651,1,1,NSCLC,NCI-H23,1.333,0.588
MT15739,beta-hydroxypyruvic acid,371652,1,1,NSCLC,NCI-H23,0.549,0.816
MT15740,beta-nicotinamide adenine dinucleotide,371653,1,1,NSCLC,NCI-H23,1.319,0.446
MT15741,biotin,371654,1,1,NSCLC,NCI-H23,0.111,0
MT15742,caffeine,371655,1,1,NSCLC,NCI-H23,0.516,0.419
MT15743,carnitine,371656,1,1,NSCLC,NCI-H23,2.463,1.825
MT15744,cholesterol,371657,1,1,NSCLC,NCI-H23,0.845,0.375
MT15745,citric acid,371658,1,1,NSCLC,NCI-H23,1.133,0.127
MT15746,creatinine,371659,1,1,NSCLC,NCI-H23,8.745,0.223
MT15747,cysteine,371660,1,1,NSCLC,NCI-H23,0.07,0
MT15748,cytidine,371661,1,1,NSCLC,NCI-H23,1.11,0.11
MT15749,cytidine 5'-monophosphate,371662,1,1,NSCLC,NCI-H23,4.756,2.15
MT15750,D-allose,371663,1,1,NSCLC,NCI-H23,2.477,0.159
MT15751,DL-cystathionine,371664,1,1,NSCLC,NCI-H23,4.443,1.579
MT15752,DL-homocysteine,371665,1,1,NSCLC,NCI-H23,0.098,0
MT15753,D-ribose,371666,1,1,NSCLC,NCI-H23,0.484,0.343
MT15754,erythrose-4-phosphate,371667,1,1,NSCLC,NCI-H23,0.372,0.532
MT15755,ethylmalonic acid,371668,1,1,NSCLC,NCI-H23,0.977,0.322
MT15756,fumaric acid,371669,1,1,NSCLC,NCI-H23,3.022,0.595
MT15757,gamma-glu-cys,371670,1,1,NSCLC,NCI-H23,0.379,0.164
MT15758,gamma-L-glutamyl-L-glutamine,371671,1,1,NSCLC,NCI-H23,0.421,0.372
MT15759,gamma-L-glutamyl-L-tyrosine,371672,1,1,NSCLC,NCI-H23,0.603,0.368
MT15760,gluconic acid,371673,1,1,NSCLC,NCI-H23,0.85,0.643
MT15761,glucose-6-phosphate,371674,1,1,NSCLC,NCI-H23,0.737,0.389
MT15762,glutamic acid,371675,1,1,NSCLC,NCI-H23,4.573,0.192
MT15763,glutamine,371676,1,1,NSCLC,NCI-H23,3.718,0.942
MT15764,"glutathione, reduced",371677,1,1,NSCLC,NCI-H23,8.552,0.091
MT15765,glyceraldehyde,371678,1,1,NSCLC,NCI-H23,0.046,0
MT15766,glyceric acid,371679,1,1,NSCLC,NCI-H23,0.54,0.408
MT15767,glycerol,371680,1,1,NSCLC,NCI-H23,0.906,0.049
MT15768,glycine,371681,1,1,NSCLC,NCI-H23,1.264,0.049
MT15769,guanine,371682,1,1,NSCLC,NCI-H23,0.072,0
MT15770,guanosine,371683,1,1,NSCLC,NCI-H23,0.406,0.107
MT15771,guanosine 5'- monophosphate,371684,1,1,NSCLC,NCI-H23,2.687,0.245
MT15772,"gulono-1,4-lactone",371685,1,1,NSCLC,NCI-H23,0.031,0
MT15773,histidine,371686,1,1,NSCLC,NCI-H23,1.353,0.128
MT15774,homogentisate,371687,1,1,NSCLC,NCI-H23,0.089,0
MT15775,hypotaurine,371688,1,1,NSCLC,NCI-H23,1.159,0.211
MT15776,hypoxanthine,371689,1,1,NSCLC,NCI-H23,0.671,0.12
MT15777,inosine,371690,1,1,NSCLC,NCI-H23,0.684,0.273
MT15778,inositol,371691,1,1,NSCLC,NCI-H23,1.276,0.668
MT15779,inositol 1-phosphate,371692,1,1,NSCLC,NCI-H23,0.656,0.123
MT15780,"Isobar 13 includes 5-keto-D-gluconic acid, 2-keto-L-gulonic acid, D-glucuronic acid",371693,1,1,NSCLC,NCI-H23,0.406,0.564
MT15781,"Isobar 18 includes D-fructose 1-phosphate, beta-D-fructose 6-phosphate",371694,1,1,NSCLC,NCI-H23,0.468,0.319
MT15782,"Isobar 19 includes D-saccharic acid, 2-deoxy-D-galactose, 2-deoxy-D-glucose, L-fucose, L-rhamnose",371695,1,1,NSCLC,NCI-H23,0.17,0.04
MT15783,"Isobar 22 includes glutamic acid, O-acetyl-L-serine",371696,1,1,NSCLC,NCI-H23,4.84,1.058
MT15784,"Isobar 25 includes L-gulono-1,4-lactone, glucono-gamma-lactone",371697,1,1,NSCLC,NCI-H23,0.423,0.554
MT15785,"Isobar 27 includes L-kynurenine, alpha-2-diamino-gamma-oxobenzenebutanoic acid",371698,1,1,NSCLC,NCI-H23,0.541,0.407
MT15786,"Isobar 3 includes inositol 1-phosphate, mannose 6-phosphate, glucose 6-phosphate, D-mannose 1-phosphate, alpha-D-glucose 1-phosphate, alpha-D-galactose 1 phosphate",371699,1,1,NSCLC,NCI-H23,0.804,0.166
