IsolabMidas,Control_01,Control_02,Control_03,Control_04,Control_05,CLL_01,CLL_02,CLL_03,CLL_04,CLL_05,Batch_01,Batch_02,Batch_03,Batch_04,Batch_05
2-Hydroxybutyric acid,7.298982091,11.02567803,6.744528036,7.997664445,10.48152695,9.973744584,11.08879606,6.637997453,13.41580077,10.24397343,0.010714381,0.011398417,0.012010013,0.013164052,0.011444476
2-Hydroxyglutarate,19.43199999,24.09235421,14.77763186,18.85972094,22.83659535,23.55646342,26.80487156,22.77150017,29.28105983,24.74536672,0.02655631,0.030090631,0.02911202,0.026146008,0.025733078
2-phosphoglyceric acid,46.44364523,32.95147992,37.0381584,16.57154042,26.1935555,32.25976251,32.24231703,59.69872154,14.78390749,25.90558823,0.037267991,0.038766548,0.046739326,0.042390308,0.047905152
3-phosphoglyceric acid,47.97392713,29.43707356,48.08853499,13.56929232,31.63029878,27.381746,47.94919335,61.1549167,1.998515019,20.82328128,0.026808542,0.03647046,0.047294353,0.033106228,0.043596192
3-Ureidopropionic acid,5.336676703,0.764546687,14.87308771,18.8963157,18.59834445,24.60974566,3.833443516,7.706057138,4.040009651,18.74106596,0.027106663,0.021875777,0.009245365,0.022796316,0.026890232
Acetylglutamic acid,6.577388209,5.994891384,4.439139203,4.94230502,6.138632359,8.861550338,9.302795565,7.728431453,6.639339447,10.19617339,0.008301467,0.009508865,0.008487615,0.009118805,0.008261469
Adenine,1.795726515,1.777640329,0.98127546,1.62296357,1.646521962,1.546893893,2.192976602,1.804270814,1.291758081,1.599288652,0.002079939,0.001843661,0.002567734,0.002051751,0.002405637
ADP,225.0851745,181.1144344,241.5041426,113.5440518,360.5033422,321.7281806,322.4284696,306.1254725,113.6516718,338.3742351,0.652349929,0.561170382,0.516779553,0.470963801,0.472994887
ADP-Ribose,13.7564784,23.9931427,15.52101947,19.76395065,16.57517375,43.4013586,17.24065263,27.69556226,29.17996308,31.37615163,0.046064533,0.039042592,0.036743258,0.036867255,0.031881628
AICAR,0.450507583,0.430210331,0.384310993,0.327713476,0.176447266,1.157233187,0.759951313,0.632013637,0.5469391,0.817694265,0.000821431,0.000909101,0.000946306,0.000671993,0.000649888
Alanine,169.7121934,179.4473481,118.4158439,142.2927499,171.7028153,175.5592057,193.0712007,166.8999628,512.3425669,211.6978914,0.224651077,0.248353245,0.231958309,0.232100243,0.229574135
Allantoin,9.406467165,14.25930893,10.19930386,7.425781499,11.06153037,13.87450435,17.42144273,10.90087472,29.74717403,12.96720699,0.020684779,0.016554511,0.01705514,0.014775974,0.017259735
Alpha-Ketoglutarate,4.290841072,9.088663174,4.996471502,3.430838289,5.865549642,2.112029054,5.149794299,4.530008967,8.40454474,3.773219348,0.005932238,0.006887959,0.006394154,0.007507816,0.007236117
AMP,35.13445935,29.26721203,23.00441747,28.48025341,42.89663372,67.55437446,67.16574707,30.39945479,49.89279653,98.77535473,0.062642056,0.062015499,0.060849451,0.062367656,0.06364383
Asparagine,15.31318089,253.9818323,295.8177708,55.20040239,6.709341041,457.340041,440.2969979,255.0838771,222.6642564,465.0833753,0.443472557,0.387037221,0.52832327,0.26995695,0.027006601
Aspartate,687.9946909,596.4576346,359.4561379,449.2643227,688.2531332,1148.72329,1469.231758,1078.162348,1386.727138,1303.429842,1.164513467,1.160445605,1.160594467,1.16816033,1.196114563
ATP,9.381976917,9.406948006,12.34741833,7.306200411,18.22183167,12.10088615,42.82421739,25.48578364,3.346866244,14.6252887,0.04381676,0.03067507,0.020955396,0.021253287,0.021774852
beta-Alanine,657.1817806,490.9747183,309.9391852,369.8799105,591.8985894,970.6532716,1324.766665,985.0715862,730.6450813,1215.895309,1.00210536,0.976008469,0.875771148,0.986941553,0.914151789
CDP-ethanolamine,67.31038718,65.76706953,57.29145855,36.15064269,51.72012068,48.14901661,40.94740709,47.11415595,46.44702019,57.34495048,0.10879328,0.094386368,0.081216091,0.068831718,0.069087704
Citric acid,297.557356,309.0935453,195.0428642,126.431,148.2693832,102.471763,155.3081112,111.2552231,178.3165766,92.50361556,0.526219383,0.383681971,0.220826944,0.196605528,0.192982263
Citrulline,31.39706007,45.01231342,22.04794818,30.91853043,43.36896473,32.19671656,62.50945348,29.27345387,124.2381339,33.8184852,0.044525467,0.04343984,0.043155853,0.045672519,0.043653715
CMP,20.83631089,21.0572828,14.6036967,18.93974896,18.33430588,21.56594907,25.46356064,14.68078347,5.605630154,23.70809047,0.027526669,0.02718373,0.027123897,0.031488294,0.031371703
