IsolabMidas,CLL_02,CLL_03,CLL_04,CLL_05,Control_01,Control_02,Control_03,Control_04,Control_05,Batch_01,Batch_02,Batch_03,Batch_04,Batch_05
2-Hydroxyglutarate,0.001224687,0.001024044,0.000637717,0.001007436,0.001722615,0.001393259,0.001386002,0.001027919,0.001330922,0.053831547,0.059792181,0.053686559,0.059684047,0.051471169
3-_or_4-hydroxybenzoic acid,0.001678422,0.001525698,0.001853554,0.003343664,0.001914575,0.001857699,0.00139128,0.001804886,0.001534166,0.090911095,0.072474616,0.060318844,0.095225479,0.061091674
3-phosphoglyceric acid,0.005091874,0.00490921,0.004695218,0.004889738,0.005526986,0.003626136,0.004274205,0.003695007,0.009117498,0.176213975,0.205491258,0.222755458,0.210449741,0.218328949
Acetyl-CoA,0.000192379,0.000150825,8.49E-05,0.000156659,0.000171218,0.000526297,0.000608679,0.000639822,0.000342049,0.009991007,0.013013661,0.01110218,0.012430769,0.011919646
Acetylglutamic acid,0.000512839,0.000466326,0.000492115,0.000511518,0.00089201,0.000901951,0.0013426,0.000460441,0.001182017,0.029043663,0.026956265,0.027320358,0.030044278,0.028675427
Adenine,0.000126866,7.68E-05,6.12E-05,6.32E-05,9.03E-05,0.000108732,9.49E-05,0.000123394,0.00012941,0.004991733,0.004837726,0.00396593,0.004153779,0.00436079
Adenosine,5.31E-06,3.25E-05,6.72E-06,2.08E-05,4.31E-05,2.23E-05,1.96E-05,2.17E-06,3.55E-05,0.001682572,0.001695632,0.001357117,0.001495594,0.001611083
ADP,0.019690602,0.021717097,0.024969993,0.026992823,0.010734196,0.030775801,0.029554148,0.019157798,0.024842205,0.948444719,0.916192678,0.864875845,0.836932839,0.887709176
ADP-Ribose,0.002611039,0.002050133,0.001966338,0.003126722,0.00393275,0.004376246,0.003874475,0.005090303,0.004065568,0.124085791,0.120659943,0.128899489,0.130758635,0.131935304
AICAR,4.20E-05,4.29E-05,4.31E-05,3.59E-05,4.46E-05,4.09E-05,3.54E-05,8.57E-05,4.40E-05,0.00135,0.001674391,0.001804702,0.001509038,0.001778888
Alanine,0.004941217,0.003812938,0.005081011,0.005444163,0.004283107,0.003931081,0.004042274,0.004420588,0.003908695,0.165545038,0.215469121,0.181945209,0.205470538,0.193279215
Allantoin,0.001694445,0.001627126,0.001861544,0.001679037,0.001567241,0.002105219,0.001927047,0.001690176,0.002041623,0.1021732,0.073771567,0.068751477,0.070206536,0.059767836
Alpha-Ketoglutarate,0.000192882,0.000143807,0.000162167,0.00025946,0.000391997,0.0003118,0.000343754,0.00027221,0.000285138,0.010285296,0.009660512,0.011690425,0.011831034,0.009984733
AMP,0.001402893,0.00120314,0.002078179,0.002119162,0.00139462,0.00221023,0.003007035,0.001528043,0.002931173,0.079818426,0.082832504,0.085808667,0.086196546,0.08654081
Argininosuccinate,0.000534639,0.000299836,0.000586641,0.00034844,0.000894081,0.000860434,0.000773419,0.000667736,0.001171114,0.027615835,0.022553322,0.027003088,0.023630091,0.024731671
Asparagine,0.011139662,0.006608222,0.003867834,0.012571403,0.004129729,0.003932271,0.005738377,0.003314152,0.007128488,0.931025056,0.740415251,0.200534784,0.229572825,0.098312734
Aspartate,0.041697526,0.032708689,0.039389685,0.054330646,0.044756181,0.052105567,0.062369076,0.056073605,0.047578784,2.110530941,2.03518158,1.999763682,2.012883476,2.050428768
ATP,0.001445723,0.001590837,0.001394044,0.001619838,0.000707466,0.002460343,0.002117794,0.001711516,0.001351838,0.072182069,0.069726895,0.063962235,0.054912296,0.051167382
beta-Alanine,0.094093937,0.08130362,0.089641552,0.120757923,0.083604967,0.104595995,0.112983196,0.101328201,0.103250291,4.126729934,4.253542644,4.114139407,4.496422936,4.254320834
CDP,0.001807404,0.00155379,0.001017295,0.001285187,0.000634938,0.002070004,0.002483743,0.002253604,0.003510295,0.055588762,0.058752203,0.066365982,0.0602638,0.071290369
CDP-ethanolamine,0.003551207,0.00318052,0.003064738,0.002344816,0.002613096,0.002634584,0.002898922,0.003104141,0.003733382,0.101420053,0.105981488,0.109579712,0.111444818,0.118047732
Citric acid,0.005284952,0.004011377,0.003736597,0.004031184,0.005010682,0.004227308,0.004177378,0.006168177,0.004848054,0.347012723,0.278673022,0.16912851,0.13256853,0.130699403
Citrulline,0.002111829,0.001220168,0.002309982,0.001764308,0.001215827,0.001355868,0.001174081,0.001070388,0.00204312,0.072004017,0.070011498,0.057957473,0.068601528,0.070344684
CMP,0.000364357,0.000253044,0.000282855,0.000282211,0.000423973,0.000406508,0.000671857,0.000421732,0.001093604,0.018944838,0.019583049,0.01945135,0.018944926,0.019441098
CoA-Glutathione,0.000354836,0.00033989,0.000497714,0.000148153,0.000364556,0.000245833,0.000217663,0.00026919,0.000386498,0.015666523,0.015777463,0.01124898,0.01151229,0.010963627
Coenzyme_A,0.001059699,0.000781826,0.000811263,0.000740537,0.00118629,0.000825946,0.000785777,0.001054718,0.001025693,0.042275546,0.04138232,0.032789962,0.030340784,0.032936249
Creatine,0.002783749,0.002707927,0.001695168,0.001149828,0.002400817,0.002120912,0.00213823,0.002801932,0.003018212,0.098825036,0.096859924,0.095626722,0.126642964,0.07925989
dAMP,2.40E-05,3.00E-05,3.02E-05,3.53E-05,4.64E-05,4.04E-05,4.24E-05,6.58E-05,5.04E-05,0.001488056,0.001461954,0.001619093,0.001163938,0.000997553
Dihydroxyacetone-P,0.000899939,0.000419732,0.00042579,0.000809065,0.00195025,0.001430491,0.000833289,0.002265912,0.000708123,0.039173674,0.044840242,0.038308065,0.038099871,0.049953508
FAD,8.34E-05,8.13E-05,9.64E-05,9.46E-05,7.69E-05,8.22E-05,6.63E-05,6.96E-05,6.01E-05,0.00326185,0.002510273,0.002110883,0.003549497,0.001028056
"Fructose-1,6-diphosphate",0.023377152,0.019230234,0.012867657,0.011750958,0.038268372,0.016858999,0.008430392,0.029111363,0.011964281,1.039941156,0.947038361,0.758470857,0.545124091,0.590344478
Fumarate,0.00111351,0.001241653,0.000820932,0.001027873,0.001522769,0.001442176,0.001398334,0.001724534,0.001988703,0.052677911,0.048832437,0.046302401,0.063489268,0.047800322
GDP,0.008984944,0.010730821,0.009391545,0.010315692,0.00459395,0.009948632,0.00985983,0.008220465,0.011630368,0.292002357,0.320264001,0.335749443,0.313125161,0.345056741
Gluconate-6P,0.000490972,0.000427636,0.000406815,0.000359346,0.000494319,0.000269538,0.000275198,0.000285821,0.000345128,0.017027618,0.017876295,0.016526625,0.014273949,0.013366988
Glucose,0.002309556,0.001972123,0.003492619,0.003025157,0.002139758,0.002173094,0.001479307,0.001794007,0.001674983,0.083929454,0.095836046,0.088701949,0.077478339,0.082996507
Glucose-6P,0.002469811,0.002220943,0.001734741,0.002948066,0.007379798,0.001933961,0.001847996,0.002270248,0.001477102,0.116295588,0.111346141,0.119016477,0.105532764,0.11350604
Glutamate,0.104470254,0.092402265,0.095952857,0.097777595,0.117720458,0.118946201,0.124330085,0.12100771,0.112914875,4.532263888,4.470326645,4.329384027,4.292840469,4.303098182
Glutamate-5-semialdehyde,0.000966343,0.000709576,0.001029874,0.001035012,0.001303694,0.001432071,0.001760781,0.000886684,0.001364358,0.048236384,0.049924833,0.046107614,0.041285657,0.046696409
Glutamine,0.033781366,0.021026881,0.053920252,0.053283222,0.026852327,0.0265098,0.01883465,0.016282015,0.011112612,1.024150993,1.007624009,1.011238258,1.078735668,1.012675264
Glutathione,0.084460499,0.113295958,0.104609901,0.115107651,0.213411102,0.186571056,0.219415622,0.209991139,0.194887634,5.838069865,5.821184457,5.387137325,5.177759354,5.001697276
Glycerol-3P,0.005371511,0.006218862,0.003526273,0.005084293,0.001311362,0.00148057,0.003164872,0.00258449,0.004669931,0.143892677,0.153830383,0.155981753,0.151314299,0.151889963
Glycerophosphoinositol,0.000200321,0.000224522,0.000178394,0.000194143,0.000338348,0.000252396,0.000236524,0.000216876,0.00041841,0.009875712,0.009627294,0.009631098,0.00998609,0.009928254
Glycine,0.000682146,0.00064346,0.000924527,0.000911426,0.000964905,0.001000753,0.001144802,0.000647077,0.00089527,0.03507786,0.040302948,0.037254462,0.042364998,0.04128921
GMP,0.000727308,0.000640439,0.000806815,0.000713756,0.001327605,0.000679748,0.000832179,0.000747927,0.001181701,0.035283008,0.034992105,0.03598071,0.034174091,0.035371922
GTP,0.00041257,0.000467755,0.000258852,0.000339966,0.000111375,0.000641315,0.000434391,0.000485614,0.000423908,0.016600828,0.016024807,0.016501622,0.012068182,0.014427329
Hexose-P,0.002027601,0.001400887,0.00115433,0.001879668,0.00469253,0.001562843,0.001396257,0.003088235,0.001592404,0.091508685,0.088698351,0.101671151,0.085993916,0.090159183
Hippuric acid,0.003754546,0.005308842,0.003756668,0.002423585,0.004442448,0.005377212,0.005095952,0.003901238,0.005217833,0.168881756,0.164372335,0.159319219,0.167436606,0.150547972
Histidine,0.003846375,0.002358732,0.005024441,0.003958539,0.003710341,0.00329923,0.003310201,0.001906515,0.004119247,0.173347872,0.179263684,0.163769686,0.166408572,0.16477641
Homocystine,0.008785584,0.009040781,0.00988079,0.010995655,0.009121746,0.007744641,0.007471811,0.007663365,0.007315519,0.38357104,0.358971631,0.365562472,0.38191702,0.353665797
Hydroxyphenyllactic acid,0.000133147,0.000287136,0.000161996,0.000129971,0.000239692,0.000338162,0.000308201,0.000690711,0.000684976,0.012562312,0.014017799,0.018063971,0.012676797,0.010974963
Hypoxanthine,0.000769859,0.000948583,0.000446652,0.000285485,0.001105458,0.000638146,0.000272643,0.000590535,0.000644825,0.028766096,0.026168446,0.024912454,0.025937566,0.025647355
IMP,0.011045215,0.012709088,0.011045805,0.009642855,0.014794951,0.006447407,0.007002985,0.007767131,0.008218085,0.363480868,0.369714858,0.388188068,0.374065141,0.376776024
Inosine,0.00234138,0.00482949,0.001963193,0.000841598,0.009510851,0.001566156,0.001059431,0.001404156,0.002964433,0.128228584,0.120474242,0.114930583,0.141624895,0.135150669
Isoleucine,0.003045598,0.002432506,0.003820358,0.003522642,0.003629828,0.00370238,0.003410856,0.003685895,0.004814494,0.14679774,0.151074485,0.147413361,0.142907734,0.141942644
