,GENE_ID,GENE,Chr
1,ENSG00000210049,MT-TF,MT
2,ENSG00000211459,MT-RNR1,MT
3,ENSG00000210077,MT-TV,MT
4,ENSG00000210082,MT-RNR2,MT
5,ENSG00000209082,MT-TL1,MT
6,ENSG00000198888,MT-ND1,MT
7,ENSG00000210100,MT-TI,MT
8,ENSG00000210107,MT-TQ,MT
9,ENSG00000210112,MT-TM,MT
10,ENSG00000198763,MT-ND2,MT
11,ENSG00000210117,MT-TW,MT
12,ENSG00000210127,MT-TA,MT
13,ENSG00000210135,MT-TN,MT
14,ENSG00000210140,MT-TC,MT
15,ENSG00000210144,MT-TY,MT
16,ENSG00000198804,MT-CO1,MT
17,ENSG00000210151,MT-TS1,MT
18,ENSG00000210154,MT-TD,MT
19,ENSG00000198712,MT-CO2,MT
20,ENSG00000210156,MT-TK,MT
21,ENSG00000228253,MT-ATP8,MT
22,ENSG00000198899,MT-ATP6,MT
23,ENSG00000198938,MT-CO3,MT
24,ENSG00000210164,MT-TG,MT
25,ENSG00000198840,MT-ND3,MT
26,ENSG00000210174,MT-TR,MT
27,ENSG00000212907,MT-ND4L,MT
28,ENSG00000198886,MT-ND4,MT
29,ENSG00000210176,MT-TH,MT
30,ENSG00000210184,MT-TS2,MT
31,ENSG00000210191,MT-TL2,MT
32,ENSG00000198786,MT-ND5,MT
33,ENSG00000198695,MT-ND6,MT
34,ENSG00000210194,MT-TE,MT
35,ENSG00000198727,MT-CYB,MT
36,ENSG00000210195,MT-TT,MT
37,ENSG00000210196,MT-TP,MT
38,ENSG00000278457,,KI270442.1
39,ENSG00000276197,,GL000220.1
40,ENSG00000278625,,KI270744.1
41,ENSG00000271254,,KI270711.1
42,ENSG00000278633,,KI270731.1
43,ENSG00000277630,,GL000213.1
44,ENSG00000278573,,KI270734.1
45,ENSG00000278294,,KI270442.1
46,ENSG00000274917,RNA5-8SN5,GL000220.1
47,ENSG00000278066,,KI270731.1
48,ENSG00000273730,,GL000220.1
49,ENSG00000277196,,KI270734.1
50,ENSG00000273937,,GL000220.1
51,ENSG00000278793,,GL000213.1
52,ENSG00000278817,,KI270734.1
53,ENSG00000276017,,KI270734.1
54,ENSG00000274202,,GL000216.2
55,ENSG00000275987,,KI270713.1
56,ENSG00000268674,,KI270713.1
57,ENSG00000275661,,KI270721.1
58,ENSG00000276351,,KI270721.1
59,ENSG00000277475,,KI270713.1
60,ENSG00000276345,,KI270721.1
61,ENSG00000275405,,KI270713.1
62,ENSG00000273532,,KI270721.1
63,ENSG00000276711,,GL000225.1
64,ENSG00000278384,,GL000218.1
65,ENSG00000276312,,KI270733.1
66,ENSG00000276700,RNA5-8SN4,KI270733.1
67,ENSG00000275757,,KI270733.1
68,ENSG00000273739,,KI270733.1
69,ENSG00000274175,,KI270728.1
70,ENSG00000273554,,KI270728.1
71,ENSG00000275869,,KI270728.1
72,ENSG00000278510,,KI270728.1
73,ENSG00000273843,,KI270728.1
74,ENSG00000277836,,KI270728.1
75,ENSG00000277374,,KI270750.1
76,ENSG00000276932,,GL000205.2
77,ENSG00000277400,,GL000194.1
78,ENSG00000274847,MAFIP,GL000194.1
79,ENSG00000291360,RPL23AP45,HG1046_PATCH
80,ENSG00000277428,,GL000195.1
81,ENSG00000276256,,GL000195.1
82,ENSG00000273748,,GL000219.1
83,ENSG00000275063,,KI270726.1
84,ENSG00000277856,,KI270726.1
85,ENSG00000278704,,GL000009.2
86,ENSG00000282162,LINC01784,HG1342_HG2282_PATCH
87,ENSG00000281934,PRAMEF11,HG1342_HG2282_PATCH
88,ENSG00000282116,PRAMEF30P,HG1342_HG2282_PATCH
89,ENSG00000282175,HNRNPCL1,HG1342_HG2282_PATCH
90,ENSG00000282817,PRAMEF2,HG1342_HG2282_PATCH
91,ENSG00000282584,PRAMEF4,HG1342_HG2282_PATCH
92,ENSG00000282663,PRAMEF10,HG1342_HG2282_PATCH
93,ENSG00000279195,PRAMEF7,HG1342_HG2282_PATCH
94,ENSG00000282338,RNU6-1072P,HG1342_HG2282_PATCH
95,ENSG00000282549,PRAMEF29P,HG1342_HG2282_PATCH
96,ENSG00000282119,PRAMEF6,HG1342_HG2282_PATCH
97,ENSG00000282791,PRAMEF28P,HG1342_HG2282_PATCH
98,ENSG00000282437,PRAMEF27,HG1342_HG2282_PATCH
99,ENSG00000282559,HNRNPCL3,HG1342_HG2282_PATCH
100,ENSG00000282566,PRAMEF25,HG1342_HG2282_PATCH
101,ENSG00000282258,PRAMEF34P,HG1342_HG2282_PATCH
102,ENSG00000282562,PRAMEF35P,HG1342_HG2282_PATCH
103,ENSG00000282530,HNRNPCL2,HG1342_HG2282_PATCH
104,ENSG00000282341,,HG1342_HG2282_PATCH
105,ENSG00000281987,PRAMEF26,HG1342_HG2282_PATCH
106,ENSG00000282095,HNRNPCL4,HG1342_HG2282_PATCH
107,ENSG00000282298,PRAMEF9,HG1342_HG2282_PATCH
108,ENSG00000282741,PRAMEF13,HG1342_HG2282_PATCH
109,ENSG00000282212,PRAMEF18,HG1342_HG2282_PATCH
110,ENSG00000282289,PRAMEF31P,HG1342_HG2282_PATCH
111,ENSG00000282424,PRAMEF5,HG1342_HG2282_PATCH
112,ENSG00000282216,PRAMEF32P,HG1342_HG2282_PATCH
113,ENSG00000282288,RNU6-771P,HG1342_HG2282_PATCH
114,ENSG00000282583,PRAMEF8,HG1342_HG2282_PATCH
115,ENSG00000282125,PRAMEF33,HG1342_HG2282_PATCH
116,ENSG00000282468,PRAMEF36P,HG1342_HG2282_PATCH
117,ENSG00000290624,,HG1342_HG2282_PATCH
118,ENSG00000262647,OR9G4,HG151_NOVEL_TEST
119,ENSG00000281107,OR5G3,HG151_NOVEL_TEST
120,ENSG00000262268,OR9G3P,HG151_NOVEL_TEST
121,ENSG00000281313,OR5G1P,HG151_NOVEL_TEST
122,ENSG00000281279,OR5G4P,HG151_NOVEL_TEST
123,ENSG00000281777,OR9G2P,HG151_NOVEL_TEST
124,ENSG00000261958,OR9G1,HG151_NOVEL_TEST
125,ENSG00000281683,,HG151_NOVEL_TEST
126,ENSG00000262191,OR9G9,HG151_NOVEL_TEST
127,ENSG00000281839,LINC02735,HG151_NOVEL_TEST
128,ENSG00000262535,OR5G5P,HG151_NOVEL_TEST
129,ENSG00000290500,,HG151_NOVEL_TEST
130,ENSG00000288263,GRK1,HG1524_PATCH
131,ENSG00000288305,LINC00552,HG1524_PATCH
132,ENSG00000291426,TOLLIP,HG152_PATCH
133,ENSG00000291427,TOLLIP-DT,HG152_PATCH
134,ENSG00000291429,,HG152_PATCH
135,ENSG00000291430,LINC02689,HG152_PATCH
136,ENSG00000291428,BRSK2,HG152_PATCH
137,ENSG00000291441,,HG152_PATCH
138,ENSG00000291431,DUSP8,HG152_PATCH
139,ENSG00000291432,KRTAP5-AS1,HG152_PATCH
140,ENSG00000291433,KRTAP5-1,HG152_PATCH
141,ENSG00000291434,KRTAP5-2,HG152_PATCH
142,ENSG00000291435,KRTAP5-3,HG152_PATCH
143,ENSG00000291440,KRTAP5-4,HG152_PATCH
144,ENSG00000291443,KRTAP5-5,HG152_PATCH
145,ENSG00000291436,,HG152_PATCH
146,ENSG00000291437,FAM99A,HG152_PATCH
147,ENSG00000291438,FAM99B,HG152_PATCH
148,ENSG00000291439,LINC02708,HG152_PATCH
149,ENSG00000291442,MOB2,HG152_PATCH
150,ENSG00000215601,TSPY24P,Y
151,ENSG00000215603,ZNF92P1Y,Y
152,ENSG00000231436,RBMY3AP,Y
153,ENSG00000225878,SERBP1P2,Y
154,ENSG00000236435,TSPY12P,Y
155,ENSG00000278478,,Y
156,ENSG00000258991,DUX4L19,Y
157,ENSG00000237048,TTTY12,Y
158,ENSG00000147761,TTTY7B,Y
159,ENSG00000224518,,Y
160,ENSG00000231988,OFD1P3Y,Y
161,ENSG00000238073,RBMY2HP,Y
162,ENSG00000275866,,Y
163,ENSG00000131538,TTTY6,Y
164,ENSG00000271595,ELOCP35,Y
165,ENSG00000183704,SLC9B1P1,Y
166,ENSG00000232927,USP12PY,Y
167,ENSG00000239225,TTTY23,Y
168,ENSG00000277438,KDM5DP1,Y
169,ENSG00000147753,TTTY7,Y
170,ENSG00000286217,LINC00279,Y
171,ENSG00000259154,DUX4L17,Y
172,ENSG00000169789,PRY,Y
173,ENSG00000231874,TSPY18P,Y
174,ENSG00000273589,,Y
175,ENSG00000226061,PCMTD1P1,Y
176,ENSG00000273863,,Y
177,ENSG00000228571,HSFY7P,Y
178,ENSG00000271375,,Y
179,ENSG00000224634,ZNF736P6Y,Y
180,ENSG00000285470,TUSC2P1,Y
181,ENSG00000226092,RBMY2AP,Y
182,ENSG00000212856,TTTY2B,Y
183,ENSG00000228890,TTTY21,Y
184,ENSG00000234620,PUDPP1,Y
185,ENSG00000291444,RBMY3AP,HG1532_PATCH
186,ENSG00000236690,,Y
187,ENSG00000291445,CDY3P,HG1532_PATCH
188,ENSG00000291446,TSPY25P,HG1532_PATCH
189,ENSG00000273693,CDRT15P10,Y
190,ENSG00000291447,USP9YP22,HG1532_PATCH
191,ENSG00000291448,TSPY16P,HG1532_PATCH
192,ENSG00000291449,USP9YP4,HG1532_PATCH
193,ENSG00000114374,USP9Y,Y
194,ENSG00000291450,ELOCP4,HG1532_PATCH
195,ENSG00000291451,RBMY1A3P,HG1532_PATCH
196,ENSG00000291452,,HG1532_PATCH
197,ENSG00000291453,TTTY20,HG1532_PATCH
198,ENSG00000291454,FAM197Y8,HG1532_PATCH
199,ENSG00000291455,TSPY8,HG1532_PATCH
200,ENSG00000291456,FAM197Y7,HG1532_PATCH
201,ENSG00000291457,,HG1532_PATCH
202,ENSG00000291458,TSPY4,HG1532_PATCH
203,ENSG00000291459,TSPY9,HG1532_PATCH
204,ENSG00000291460,FAM197Y2,HG1532_PATCH
205,ENSG00000291461,FAM197Y4,HG1532_PATCH
206,ENSG00000291462,FAM197Y4,HG1532_PATCH
207,ENSG00000169807,PRY2,Y
208,ENSG00000234110,TSPY25P,Y
209,ENSG00000223422,,Y
210,ENSG00000231159,OFD1P8Y,Y
211,ENSG00000225653,RNF19BPY,Y
212,ENSG00000251618,,Y
213,ENSG00000229159,TSPY23P,Y
214,ENSG00000228578,TUBB1P2,Y
215,ENSG00000231411,DUX4L31,Y
216,ENSG00000187657,TSPY13P,Y
217,ENSG00000275280,,Y
218,ENSG00000270242,ACTR3BP1,Y
219,ENSG00000236477,RPS24P1,Y
220,ENSG00000129816,TTTY1B,Y
221,ENSG00000237997,RCC2P2,Y
222,ENSG00000244246,ZNF736P8Y,Y
223,ENSG00000234950,RBMY2OP,Y
224,ENSG00000198692,EIF1AY,Y
225,ENSG00000234583,TSPY19P,Y
226,ENSG00000183753,BPY2,Y
227,ENSG00000225433,MTND1P12,Y
228,ENSG00000227166,STSP1,Y
229,ENSG00000228379,,Y
230,ENSG00000285019,ELOCP5,HG1535_PATCH
231,ENSG00000285196,CDY10P,HG1535_PATCH
232,ENSG00000235857,CTBP2P1,Y
233,ENSG00000285308,USP9YP3,HG1535_PATCH
234,ENSG00000223955,MTND6P1,Y
235,ENSG00000285028,USP9YP8,HG1535_PATCH
236,ENSG00000237195,DLGAP5P1,Y
237,ENSG00000285455,CDY11P,HG1535_PATCH
238,ENSG00000237447,CDC27P2,Y
239,ENSG00000285477,OFD1P16Y,HG1535_PATCH
240,ENSG00000185700,TTTY8B,Y
241,ENSG00000270455,PABPC1P5,Y
242,ENSG00000229940,TSPY22P,Y
243,ENSG00000234385,RCC2P1,Y
244,ENSG00000226863,SHROOM2P1,Y
